Name,Bus,Fuel,Max_Cap,Min_Cap,Heat_Rate
ID_56170-103518,280991,BIO,2.6,0.89,13.5
ID_56184-103519,201361,NG (Natural Gas),46.4,20.49,8.037
ID_56185-103520,230601,NG (Natural Gas),49.6,21.91,8.037
ID_56232-103522,285491,NG (Natural Gas),106.0,46.82,8.037
ID_56239-103523,230601,NG (Natural Gas),121.0,53.45,8.037
ID_56284-103577,261331,NG (Natural Gas),5.5,2.43,8.037
ID_56298-103603,201361,NG (Natural Gas),164.0,72.44,8.037
ID_56346-103618,280991,NG (Natural Gas),8.4,3.71,8.037
ID_56356-103619,280991,NG (Natural Gas),49.0,21.64,8.037
ID_56428-103720,233771,BIO,3.0,1.03,13.5
ID_56467-103849,216471,NG (Natural Gas),655.0,289.31,8.037
ID_56469-103850,133661,BIO,13.4,4.59,13.5
ID_56471-103851,258301,NG (Natural Gas),49.8,22.0,8.037
ID_56472-103852,280991,NG (Natural Gas),49.8,22.0,8.037
ID_56473-103853,280991,NG (Natural Gas),49.8,22.0,8.037
ID_56474-103854,280991,NG (Natural Gas),49.8,22.0,8.037
ID_56475-103855,256751,NG (Natural Gas),49.8,22.0,8.037
ID_56476-103856,211211,NG (Natural Gas),619.7,273.72,8.037
ID_56532-103857,201361,NG (Natural Gas),712.4,314.67,8.037
ID_56534-103858,280991,BIO,3.9,1.34,13.5
ID_56535-103859,252891,BIO,2.6,0.89,13.5
ID_56569-103860,286671,NG (Natural Gas),121.0,53.45,8.037
ID_56639-103863,261331,NG (Natural Gas),139.8,61.75,8.037
ID_56706-103908,230601,BIO,12.5,4.28,13.5
ID_56707-103909,230601,BIO,12.5,4.28,13.5
ID_56803-103956,261331,NG (Natural Gas),432.0,190.81,8.037
ID_56832-103959,286671,GEO,64.0,7.02,9.54
ID_56895-104037,211211,BIO,11.4,3.91,13.5
ID_56897-104038,216471,BIO,3.8,1.3,13.5
ID_56898-104039,252891,BIO,9.2,3.15,13.5
ID_56914-104041,285491,NG (Natural Gas),118.0,52.12,8.037
ID_57001-104045,285491,NG (Natural Gas),49.9,22.04,8.037
ID_57027-104055,280991,NG (Natural Gas),200.0,88.34,8.037
ID_57100-104060,261331,BIO,1.1,0.38,13.5
ID_57101-104061,261331,BIO,1.4,0.48,13.5
ID_57102-104062,280991,BIO,2.2,0.75,13.5
ID_57122-104063,280781,NG (Natural Gas),19.0,8.39,8.037
ID_57133-104064,201361,BIO,3.2,1.1,13.5
ID_57154-104065,286671,BIO,18.1,6.2,13.5
ID_57163-104066,251601,BIO,13.8,4.73,13.5
ID_57267-104103,216471,NG (Natural Gas),828.0,365.73,8.037
ID_57475-104475,286671,GEO,55.0,6.03,9.54
ID_57482-104476,280991,NG (Natural Gas),800.0,353.36,8.037
ID_57483-104477,211211,NG (Natural Gas),199.6,88.16,8.037
ID_57515-104721,280991,NG (Natural Gas),500.0,220.85,8.037
ID_57557-104728,211211,BIO,1.6,0.55,13.5
ID_57564-104730,230601,NG (Natural Gas),61.5,27.16,8.037
ID_57573-104732,211211,NG (Natural Gas),3.5,1.55,8.037
ID_57580-104734,201361,NG (Natural Gas),4.2,1.86,8.037
ID_57584-104735,285491,NG (Natural Gas),33.0,14.58,8.037
ID_57585-104736,258301,NG (Natural Gas),29.0,12.81,8.037
ID_57696-104830,211211,BIO,4.6,1.58,13.5
ID_57702-104901,253751,NG (Natural Gas),5.7,2.52,8.037
ID_57713-104903,285491,NG (Natural Gas),9.6,4.24,8.037
ID_57714-104904,211211,NG (Natural Gas),4.4,1.94,8.037
ID_57715-104905,285491,NG (Natural Gas),2.0,0.88,8.037
ID_57771-105030,201361,BIO,2.3,0.79,13.5
ID_57857-105253,201361,BIO,5.5,1.88,13.5
ID_57876-105257,233771,BIO,1.6,0.55,13.5
ID_57901-105262,254031,NG (Natural Gas),537.4,237.37,8.037
ID_57916-105264,286671,NG (Natural Gas),8.9,3.93,8.037
ID_57971-105302,211211,BIO,2.1,0.72,13.5
ID_57977-105303,300011,NG (Natural Gas),6.0,2.65,8.037
ID_57978-105304,230601,NG (Natural Gas),288.9,127.61,8.037
ID_57988-105306,201361,BIO,4.8,1.64,13.5
ID_58007-105310,280991,BIO,37.2,12.75,13.5
ID_58053-105314,230601,OIL,3.3,1.16,9.96
ID_58058-105316,256751,NG (Natural Gas),6.7,2.96,8.037
ID_58083-105321,280991,NG (Natural Gas),21.0,9.28,8.037
ID_58085-105322,252891,OIL,1.5,0.53,9.96
ID_58100-105324,252891,NG (Natural Gas),4.5,1.99,8.037
ID_58122-105338,252891,NG (Natural Gas),48.5,21.42,8.037
ID_58168-105441,280991,NG (Natural Gas),1.5,0.66,8.037
ID_58190-105444,261331,NG (Natural Gas),1.4,0.62,8.037
ID_58198-105445,211211,NG (Natural Gas),13.5,5.96,8.037
ID_58223-105450,261001,NG (Natural Gas),4.5,1.99,8.037
ID_58258-105461,254031,NG (Natural Gas),9.2,4.06,8.037
ID_58320-105470,211211,BIO,1.6,0.55,13.5
ID_58379-105479,261331,BIO,1.5,0.51,13.5
ID_58397-105579,261331,BIO,1.4,0.48,13.5
ID_58429-105585,252891,BIO,23.0,7.88,13.5
ID_58432-105587,258301,NG (Natural Gas),13.2,5.83,8.037
